Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Lcp_Loss                 Adv_Mean                 Adv_Std                  Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
1000                     1.66915713555283         131203072                259.1711120605469        300.0                    4096                     206.07781982421875       286.48223876953125       43421                    9.702049255371094        0.005308597348630428     0.10233154147863388      0.9999856352806091       0.0                      17.51845932006836        -0.057670414447784424    3.120513677597046        0.3388916552066803       0.12463641166687012      1.0                      
1100                     1.827624762919214        144310272                262.7154541015625        300.0                    4096                     210.50241088867188       288.0609130859375        43157                    8.574219703674316        0.009031805209815502     0.09150543063879013      0.999783456325531        0.0                      17.32924461364746        0.03435748815536499      2.9568495750427246       0.3388916552066803       0.12463641166687012      1.0                      
1200                     1.9841297652324041       157417472                266.8592529296875        300.0                    4096                     215.08412170410156       290.2944030761719        42782                    8.835066795349121        0.004000077955424786     0.09065093845129013      1.0002299547195435       0.0                      17.181875228881836       -0.09710271656513214     3.0184895992279053       0.3388916552066803       0.12463641166687012      1.0                      
1300                     2.140467005636957        170524672                269.88983154296875       300.0                    4096                     218.712158203125         291.3905029296875        42610                    7.58036994934082         0.002690534573048353     0.08392333984375         0.9999721646308899       0.0                      17.102020263671875       -0.07086603343486786     2.778163433074951        0.3388916552066803       0.12463641166687012      1.0                      
1400                     2.2956209379434585       183631872                271.32373046875          300.0                    4096                     221.8590545654297        292.6940612792969        42366                    7.239415168762207        0.0068912687711417675    0.09466858208179474      1.0002301931381226       0.0                      17.054800033569336       -0.11717888712882996     2.7487239837646484       0.3388916552066803       0.12463641166687012      1.0                      
1500                     2.4499024813042745       196739072                272.7808837890625        300.0                    4096                     223.86538696289062       293.1099548339844        42284                    6.10962438583374         0.006814115680754185     0.08353271335363388      1.0002902746200562       0.0                      17.171123504638672       -0.06490327417850494     2.4924912452697754       0.3388916552066803       0.12463641166687012      1.0                      
1600                     2.6027188809712727       209846272                274.14495849609375       300.0                    4096                     226.24868774414062       294.1459045410156        42065                    5.967034816741943        0.006675045471638441     0.10030212253332138      1.0000100135803223       0.0                      17.25404930114746        -0.0458819679915905      2.4796907901763916       0.3388916552066803       0.12463641166687012      1.0                      
1700                     2.754588373237186        222953472                274.4950256347656        300.0                    4096                     227.8511505126953        294.37841796875          42033                    5.0112738609313965       0.006322962697595358     0.08556671440601349      1.0001181364059448       0.0                      17.025327682495117       -0.04048239439725876     2.265789270401001        0.3388916552066803       0.12463641166687012      1.0                      
1800                     2.9052491779459846       236060672                276.6729431152344        300.0                    4096                     229.2293701171875        294.6204833984375        41991                    3.9806339740753174       0.010574403218925        0.08968200534582138      1.00010085105896         0.0                      17.00578498840332        -0.015563292428851128    2.0265445709228516       0.3388916552066803       0.12463641166687012      1.0                      
1900                     3.055875300301446        249167872                278.15972900390625       300.0                    4096                     230.67031860351562       294.80047607421875       41957                    4.328681945800781        0.012628505006432533     0.1016845703125          0.9997305274009705       0.0                      17.054357528686523       0.009273145347833633     2.1356008052825928       0.3388916552066803       0.12463641166687012      1.0                      
2000                     3.205128871864743        262275072                278.6652526855469        300.0                    4096                     232.23162841796875       295.35247802734375       41851                    3.221414566040039        0.01513758022338152      0.10341491550207138      1.0001047849655151       0.0                      16.95025634765625        0.013727845624089241     1.8355748653411865       0.3388916552066803       0.12463641166687012      1.0                      
2100                     3.3541319608688354       275382272                278.7813720703125        300.0                    4096                     233.52407836914062       295.8450927734375        41763                    3.953117847442627        0.009904320351779461     0.09371185302734375      0.9999176263809204       0.0                      17.094846725463867       -0.000264129601418972    2.0166821479797363       0.3388916552066803       0.12463641166687012      1.0                      
2200                     3.5028961981667415       288489472                280.6817932128906        300.0                    4096                     234.23104858398438       295.6104736328125        41809                    4.633328437805176        0.00992369931191206      0.10341491550207138      1.0000569820404053       0.0                      16.949586868286133       -0.00380569975823164     2.174650192260742        0.3388916552066803       0.12463641166687012      1.0                      
2300                     3.6519965135388905       301596672                279.88372802734375       300.0                    4096                     235.15858459472656       295.8501281738281        41751                    2.905709743499756        0.017101505771279335     0.09435119479894638      0.9999971389770508       0.0                      17.186386108398438       0.027593489736318588     1.7304285764694214       0.3388916552066803       0.12463641166687012      1.0                      
2400                     3.8004314463006126       314703872                280.4012145996094        300.0                    4096                     235.9178924560547        295.8089599609375        41767                    2.9343180656433105       0.013247630558907986     0.10486755520105362      0.999989926815033        0.0                      17.04287338256836        0.04034210368990898      1.752895712852478        0.3388916552066803       0.12463641166687012      1.0                      
2500                     3.948772849506802        327811072                280.817626953125         300.0                    4096                     236.64630126953125       296.15447998046875       41707                    4.344197750091553        0.004370101727545261     0.09526214748620987      1.0001519918441772       0.0                      17.06447410583496        -0.04824705421924591     2.1173765659332275       0.3388916552066803       0.12463641166687012      1.0                      
2600                     4.095520238876343        340918272                281.6244201660156        300.0                    4096                     237.51048278808594       296.3847351074219        41656                    3.3612594604492188       0.011879450641572475     0.10024871677160263      1.0003479719161987       0.0                      17.135509490966797       0.0026021981611847878    1.8799309730529785       0.3388916552066803       0.12463641166687012      1.0                      
2700                     4.243607270386484        354025472                282.6404113769531        300.0                    4096                     237.58949279785156       296.1176452636719        41740                    3.3631491661071777       0.011824097484350204     0.0908355712890625       0.9995347261428833       0.0                      16.93194580078125        -0.0037367558106780052   1.898707628250122        0.3388916552066803       0.12463641166687012      1.0                      
2800                     4.391041890846358        367132672                282.85968017578125       300.0                    4096                     238.6697235107422        296.4886779785156        41645                    5.258027076721191        0.012017696164548397     0.10176239162683487      1.0003533363342285       0.0                      17.007150650024414       -0.009326744824647903    2.3506011962890625       0.3388916552066803       0.12463641166687012      1.0                      
2900                     4.537054094804658        380239872                282.9715576171875        300.0                    4096                     239.17160034179688       296.6496276855469        41615                    4.482105255126953        0.006913536228239536     0.09047851711511612      0.9999886751174927       0.0                      17.073516845703125       0.015067080035805702     2.1388773918151855       0.3388916552066803       0.12463641166687012      1.0                      
3000                     4.681868552499347        393347072                283.31597900390625       300.0                    4096                     239.59805297851562       296.8424072265625        41586                    3.002028703689575        0.007413874845951796     0.11232910305261612      0.9998623728752136       0.0                      17.242197036743164       0.013795970007777214     1.7940152883529663       0.3388916552066803       0.12463641166687012      1.0                      
3100                     4.825194537242254        406454272                283.51324462890625       300.0                    4096                     240.21278381347656       296.9678955078125        41556                    3.4681708812713623       0.006679780315607786     0.11278076469898224      1.0000231266021729       0.0                      17.051931381225586       0.013899261131882668     1.900277018547058        0.3388916552066803       0.12463641166687012      1.0                      
3200                     4.96959255013201         419561472                283.5601806640625        300.0                    4096                     240.22802734375          296.6423034667969        41600                    2.663390874862671        0.012906848452985287     0.09741363674402237      0.9999400973320007       0.0                      17.044591903686523       -0.007042853161692619    1.6725705862045288       0.3388916552066803       0.12463641166687012      1.0                      
3300                     5.113207119107247        432668672                284.415283203125         300.0                    4096                     240.95982360839844       297.1678771972656        41511                    4.828710556030273        0.0034798551350831985    0.09925384819507599      1.0002106428146362       0.0                      17.014589309692383       -0.06729041039943695     2.2411417961120605       0.3388916552066803       0.12463641166687012      1.0                      
3400                     5.258024319476552        445775872                284.439453125            300.0                    4096                     241.1633758544922        296.9848327636719        41542                    3.8759617805480957       0.013449874706566334     0.10447998344898224      0.9995697140693665       0.0                      17.04243278503418        -0.022835101932287216    2.0070807933807373       0.3388916552066803       0.12463641166687012      1.0                      
3500                     5.401761728194025        458883072                284.60723876953125       300.0                    4096                     241.36524963378906       297.0292053222656        41536                    2.770918846130371        0.01604718528687954      0.09543609619140625      1.0001620054244995       0.0                      16.91780662536621        0.01312306895852089      1.7043761014938354       0.3388916552066803       0.12463641166687012      1.0                      
3600                     5.546347011261516        471990272                284.7659912109375        300.0                    4096                     241.88970947265625       297.14263916015625       41534                    3.8034822940826416       0.007835800759494305     0.10112304985523224      0.9999055862426758       0.0                      17.143966674804688       -0.022801334038376808    1.9806660413742065       0.3388916552066803       0.12463641166687012      1.0                      
3700                     5.690065618819661        485097472                285.36676025390625       300.0                    4096                     242.2045135498047        297.1849670410156        41507                    1.9809452295303345       0.01987077109515667      0.09330444782972336      0.9999045729637146       0.0                      16.980880737304688       -0.009412398561835289    1.4400417804718018       0.3388916552066803       0.12463641166687012      1.0                      
3800                     5.8335460617807176       498204672                285.82464599609375       300.0                    4096                     242.4261474609375        297.1229248046875        41521                    3.3527746200561523       0.011425456032156944     0.08585204929113388      0.9999322295188904       0.0                      16.90313148498535        -0.061397455632686615    1.8806891441345215       0.3388916552066803       0.12463641166687012      1.0                      
3900                     5.978566864795155        511311872                285.3016662597656        300.0                    4096                     242.29098510742188       296.88128662109375       41576                    1.9047844409942627       0.016032202169299126     0.11336364597082138      0.9995421767234802       0.0                      16.90458869934082        -0.0006789845647290349   1.4351767301559448       0.3388916552066803       0.12463641166687012      1.0                      
4000                     6.122805112070507        524419072                286.1458435058594        300.0                    4096                     242.9251251220703        297.36737060546875       41470                    3.1663033962249756       0.006539928261190653     0.09771881252527237      0.9997989535331726       0.0                      17.248779296875          -0.03186897933483124     1.8159990310668945       0.3388916552066803       0.12463641166687012      1.0                      
4100                     6.266752342714204        537526272                285.3871154785156        300.0                    4096                     243.0229034423828        297.1286926269531        41516                    4.113369941711426        0.00451451214030385      0.08571930229663849      0.999559223651886        0.0                      16.837400436401367       -0.04017885774374008     2.047288656234741        0.3388916552066803       0.12463641166687012      1.0                      
4200                     6.40852193388674         550633472                286.52532958984375       300.0                    4096                     243.2298583984375        297.2103576660156        41519                    2.50781512260437         0.011649754829704762     0.09386902302503586      0.9999222159385681       0.0                      16.863271713256836       0.049709029495716095     1.6107509136199951       0.3388916552066803       0.12463641166687012      1.0                      
4300                     6.5536958182520335       563740672                286.17449951171875       300.0                    4096                     243.15757751464844       297.0957336425781        41526                    3.983410596847534        0.00528939813375473      0.10285034030675888      0.9999272227287292       0.0                      16.72101402282715        -0.03307473659515381     2.0223915576934814       0.3388916552066803       0.12463641166687012      1.0                      
4400                     6.696308942966991        576847872                286.1016845703125        300.0                    4096                     243.76971435546875       297.41009521484375       41475                    2.818506956100464        0.008845502510666847     0.09692535549402237      1.0001156330108643       0.0                      16.866910934448242       -0.01616494730114937     1.7380702495574951       0.3388916552066803       0.12463641166687012      1.0                      
4500                     6.839288011590639        589955072                286.577392578125         300.0                    4096                     244.00816345214844       297.4235534667969        41472                    2.6198346614837646       0.009846404194831848     0.10018310695886612      0.9998140335083008       0.0                      16.835521697998047       0.007717437110841274     1.6591424942016602       0.3388916552066803       0.12463641166687012      1.0                      
4600                     6.982216311097145        603062272                286.5955810546875        300.0                    4096                     244.20201110839844       297.3485107421875        41467                    1.7659705877304077       0.018313365057110786     0.10294494777917862      0.9998233914375305       0.0                      16.947233200073242       0.0034354485105723143    1.3820306062698364       0.3388916552066803       0.12463641166687012      1.0                      
4700                     7.126734099917941        616169472                286.7965087890625        300.0                    4096                     244.08926391601562       297.10955810546875       41524                    2.961026430130005        0.007409906480461359     0.07903748005628586      0.9997783899307251       0.0                      16.608434677124023       -0.0459822341799736      1.754802942276001        0.3388916552066803       0.12463641166687012      1.0                      
4800                     7.269622862272793        629276672                286.36187744140625       300.0                    4096                     244.25782775878906       297.306396484375         41485                    2.3887081146240234       0.017048191279172897     0.09059753268957138      1.0000975131988525       0.0                      16.68802261352539        0.03231033682823181      1.5750538110733032       0.3388916552066803       0.12463641166687012      1.0                      
4900                     7.412707620660464        642383872                286.95263671875          300.0                    4096                     244.6695556640625        297.40771484375          41459                    2.8399035930633545       0.003978278022259474     0.08746490627527237      1.0000150203704834       0.0                      16.821348190307617       -0.038444288074970245    1.719704031944275        0.3388916552066803       0.12463641166687012      1.0                      
5000                     7.555506792399618        655491072                286.583984375            300.0                    4096                     244.85850524902344       297.46258544921875       41453                    2.351189136505127        0.014952990226447582     0.101043701171875        1.000053882598877        0.0                      16.649660110473633       0.004992864094674587     1.5876647233963013       0.3388916552066803       0.12463641166687012      1.0                      
5100                     7.697425691816542        668598272                287.0797119140625        300.0                    4096                     244.69725036621094       297.434814453125         41458                    1.7751071453094482       0.024008003994822502     0.10022125393152237      0.9999248385429382       0.0                      16.842710494995117       -0.02837751805782318     1.3764488697052002       0.3388916552066803       0.12463641166687012      1.0                      
5200                     7.83904856496387         681705472                286.3896484375           300.0                    4096                     244.81051635742188       297.34228515625          41477                    2.593268394470215        0.012133725918829441     0.09437866508960724      1.0001493692398071       0.0                      16.62938690185547        0.04482603818178177      1.6448540687561035       0.3388916552066803       0.12463641166687012      1.0                      
5300                     7.979922307795948        694812672                287.2407531738281        300.0                    4096                     245.1394805908203        297.6025390625           41421                    2.863632917404175        0.011171896010637283     0.08910675346851349      0.999799907207489        0.0                      16.787811279296875       -0.042361270636320114    1.7295787334442139       0.3388916552066803       0.12463641166687012      1.0                      
5400                     8.120278684298198        707919872                286.14208984375          300.0                    4096                     245.35235595703125       297.6067199707031        41418                    3.1013898849487305       0.010367822833359241     0.09755249321460724      0.999557614326477        0.0                      16.47328758239746        -0.040180958807468414    1.8090672492980957       0.3388916552066803       0.12463641166687012      1.0                      
5500                     8.262062149378988        721027072                286.77459716796875       300.0                    4096                     245.1420135498047        297.3800048828125        41463                    2.603538990020752        0.01137805636972189      0.10046996921300888      0.999737560749054        0.0                      16.709623336791992       0.002179756760597229     1.6404842138290405       0.3388916552066803       0.12463641166687012      1.0                      
5600                     8.403927199178272        734134272                286.70391845703125       300.0                    4096                     245.44541931152344       297.5621643066406        41424                    2.0479586124420166       0.014943874441087246     0.10745849460363388      0.9996616244316101       0.0                      16.73102569580078        0.015056917443871498     1.457258939743042        0.3388916552066803       0.12463641166687012      1.0                      
5700                     8.546936639216211        747241472                287.596435546875         300.0                    4096                     245.39932250976562       297.4642639160156        41461                    2.6789958477020264       0.010422302410006523     0.08896026760339737      0.9997308850288391       0.0                      16.633235931396484       0.0045754509046673775    1.6732826232910156       0.3388916552066803       0.12463641166687012      1.0                      
5800                     8.690831941962243        760348672                288.1330871582031        300.0                    4096                     245.30162048339844       297.37432861328125       41470                    2.586596965789795        0.009128240868449211     0.07964630424976349      1.0001567602157593       0.0                      16.586166381835938       0.0376061387360096       1.6478297710418701       0.3388916552066803       0.12463641166687012      1.0                      
5900                     8.833428808980518        773455872                287.2767639160156        300.0                    4096                     245.424072265625         297.4166564941406        41473                    2.6274003982543945       0.006902971304953098     0.10519104450941086      1.0002585649490356       0.0                      16.480894088745117       -0.018653016537427902    1.6630016565322876       0.3388916552066803       0.12463641166687012      1.0                      
6000                     8.976148149106237        786563072                287.6583251953125        300.0                    4096                     245.39816284179688       297.22613525390625       41502                    1.3332353830337524       0.020189572125673294     0.11275940388441086      1.0002864599227905       0.0                      16.46584129333496        0.02515587955713272      1.199199914932251        0.3388916552066803       0.12463641166687012      1.0                      
6100                     9.119591032531526        799670272                287.5542907714844        300.0                    4096                     245.39736938476562       297.3187255859375        41481                    2.053717613220215        0.018298227339982986     0.08798675984144211      0.9997965097427368       0.0                      16.500810623168945       0.027395732700824738     1.4649717807769775       0.3388916552066803       0.12463641166687012      1.0                      
6200                     9.262884008023473        812777472                287.5195007324219        300.0                    4096                     245.52793884277344       297.3538818359375        41464                    2.480546474456787        0.018012354150414467     0.09268798679113388      1.0003663301467896       0.0                      16.523027420043945       -0.0187835656106472      1.598987102508545        0.3388916552066803       0.12463641166687012      1.0                      
6300                     9.40468411942323         825884672                287.8000183105469        300.0                    4096                     245.43765258789062       297.3232116699219        41490                    1.8442013263702393       0.014916029758751392     0.10838013142347336      0.9996928572654724       0.0                      16.450756072998047       0.04601401835680008      1.4051635265350342       0.3388916552066803       0.12463641166687012      1.0                      
6400                     9.546570662988557        838991872                287.51568603515625       300.0                    4096                     245.9245147705078        297.6387634277344        41413                    2.3998403549194336       0.008817636407911777     0.094696044921875        0.9999343752861023       0.0                      16.605566024780273       -0.049896836280822754    1.5622631311416626       0.3388916552066803       0.12463641166687012      1.0                      
6500                     9.690432621439298        852099072                287.2095642089844        300.0                    4096                     245.60452270507812       297.28338623046875       41480                    1.7717254161834717       0.014489213936030865     0.11291199177503586      1.000104308128357        0.0                      16.423254013061523       0.0052402750588953495    1.368499517440796        0.3388916552066803       0.12463641166687012      1.0                      
6600                     9.832946845557954        865206272                287.1187438964844        300.0                    4096                     245.96099853515625       297.5028076171875        41444                    1.9806052446365356       0.027516040951013565     0.09368439018726349      1.00013267993927         0.0                      16.47551918029785        0.03465694189071655      1.4739824533462524       0.3388916552066803       0.12463641166687012      1.0                      
6700                     9.975445250140297        878313472                287.74639892578125       300.0                    4096                     246.04989624023438       297.4684143066406        41445                    3.4798669815063477       0.010037561878561974     0.08769684284925461      1.0000377893447876       0.0                      16.477781295776367       -0.03215375542640686     1.896405816078186        0.3388916552066803       0.12463641166687012      1.0                      
6800                     10.117079804870817       891420672                287.55157470703125       300.0                    4096                     246.29917907714844       297.65179443359375       41435                    2.475407361984253        0.014415028505027294     0.10361023247241974      1.0001109838485718       0.0                      16.53847885131836        -0.045180827379226685    1.6034780740737915       0.3388916552066803       0.12463641166687012      1.0                      
6900                     10.259683421320386       904527872                287.81695556640625       300.0                    4096                     246.26954650878906       297.6141357421875        41414                    2.738107442855835        0.007346686907112598     0.08397064357995987      1.0002342462539673       0.0                      16.750534057617188       -0.02181377448141575     1.6942204236984253       0.3388916552066803       0.12463641166687012      1.0                      
7000                     10.401207869913843       917635072                288.20477294921875       300.0                    4096                     246.5402069091797        297.6456298828125        41413                    2.598041534423828        0.011322829872369766     0.0765533447265625       0.9999284744262695       0.0                      16.500324249267578       -0.041824743151664734    1.668861985206604        0.3388916552066803       0.12463641166687012      1.0                      
7100                     10.54376007384724        930742272                287.92120361328125       300.0                    4096                     246.41983032226562       297.5708312988281        41442                    3.003279209136963        0.020503511652350426     0.10305175930261612      1.0002754926681519       0.0                      16.56752586364746        0.012974631041288376     1.7917160987854004       0.3388916552066803       0.12463641166687012      1.0                      
7200                     10.683200476500723       943849472                287.635498046875         300.0                    4096                     246.8235626220703        297.7680358886719        41401                    2.2507007122039795       0.014717292971909046     0.10099639743566513      0.9999715089797974       4.453333257714576e-09    16.585939407348633       0.0036011170595884323    1.5608927011489868       0.3388916552066803       0.12463641166687012      1.0                      
7300                     10.82350753015942        956956672                288.106689453125         300.0                    4096                     246.70925903320312       297.6936950683594        41406                    2.404796838760376        0.010680744424462318     0.08372650295495987      0.999913215637207        4.977020129359744e-09    16.552961349487305       -0.009210502728819847    1.5949583053588867       0.3388916552066803       0.12463641166687012      1.0                      
7400                     10.962976969149377       970063872                288.5310363769531        300.0                    4096                     247.22076416015625       297.9422302246094        41360                    2.109386682510376        0.012285244651138783     0.09169311821460724      0.9999551177024841       6.403321872738843e-09    16.72903823852539        0.018542185425758362     1.482131838798523        0.3388916552066803       0.12463641166687012      1.0                      
7500                     11.105844144887394       983171072                288.41094970703125       300.0                    4096                     246.9022674560547        297.6346130371094        41424                    3.4034931659698486       0.004957760684192181     0.09666138142347336      1.000295639038086        6.39112718303636e-09     16.871091842651367       -0.06115354970097542     1.8825138807296753       0.3388916552066803       0.12463641166687012      1.0                      
7600                     11.248511994812224       996278272                287.962158203125         300.0                    4096                     246.7554931640625        297.4510803222656        41441                    3.0126430988311768       0.004778329282999039     0.09466095268726349      1.00039541721344         0.0                      16.446718215942383       -0.044321879744529724    1.772222876548767        0.3388916552066803       0.12463641166687012      1.0                      
7700                     11.388178353177176       1009385472               287.90679931640625       300.0                    4096                     246.82131958007812       297.6871032714844        41400                    2.3906240463256836       0.007228924427181482     0.08882293850183487      1.0001347064971924       6.377857443562451e-12    16.668201446533203       0.02922651544213295      1.6028255224227905       0.3388916552066803       0.12463641166687012      1.0                      
7800                     11.529992809560564       1022492672               288.12640380859375       300.0                    4096                     246.64369201660156       297.5019226074219        41431                    2.122852087020874        0.013366252183914185     0.09757690876722336      1.0001540184020996       0.0                      16.605133056640625       -0.025907836854457855    1.492423176765442        0.3388916552066803       0.12463641166687012      1.0                      
7900                     11.672663658062618       1035599872               288.2480773925781        300.0                    4096                     246.68540954589844       297.4700927734375        41444                    2.576625108718872        0.0036681515630334616    0.09070892632007599      1.00045907497406         7.579002669899637e-08    16.484403610229492       -0.027089809998869896    1.6884441375732422       0.3388916552066803       0.12463641166687012      1.0                      
8000                     11.813332979281743       1048707072               288.1700134277344        300.0                    4096                     247.3238525390625        297.901123046875         41359                    1.9856550693511963       0.014477654360234737     0.09699859470129013      1.0003031492233276       3.511322788085636e-08    16.737205505371094       0.003421335481107235     1.4380850791931152       0.3388916552066803       0.12463641166687012      1.0                      
8100                     11.954030197726356       1061814272               288.55181884765625       300.0                    4096                     247.17149353027344       297.6835632324219        41404                    2.3375844955444336       0.010347550734877586     0.10281067341566086      1.0002611875534058       8.975336918126686e-09    16.434017181396484       -0.0007995748892426491   1.5706151723861694       0.3388916552066803       0.12463641166687012      1.0                      
8200                     12.095277260078324       1074921472               288.74176025390625       300.0                    4096                     246.91087341308594       297.59912109375          41422                    2.6704936027526855       0.0062238010577857494    0.10734863579273224      1.00018310546875         4.672125442084507e-08    16.596229553222656       -0.05829886347055435     1.6694166660308838       0.3388916552066803       0.12463641166687012      1.0                      
