Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Action_Bound_Loss        Adv_Mean                 Adv_Std                  A_Weight_Mean            A_Weight_Min             A_Weight_Max             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
1500                     1.0241134405136108       196739072                266.02117919921875       300.0                    4096                     251.1830596923828        299.8171691894531        40992                    0.05281490087509155      -70.63516235351562       7.381280511253863e-07    0.01992674171924591      0.22669628262519836      1.594144582748413        2.140678745377045e-09    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1600                     1.0790190131134456       209846272                267.887451171875         300.0                    4096                     253.49327087402344       299.8728942871094        40982                    0.0843028724193573       -60.75777816772461       1.0624013157212175e-05   0.003774115350097418     0.29612359404563904      1.372570276260376        9.928760139127059e-41    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1700                     1.1344458967447282       222953472                269.90045166015625       300.0                    4096                     255.40272521972656       299.8765869140625        40982                    0.05368594080209732      -71.3743667602539        2.743188588283374e-06    0.017555590718984604     0.21984170377254486      1.611724853515625        1.0993355317623354e-05   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1800                     1.1897756516933442       236060672                270.7611083984375        300.0                    4096                     256.88043212890625       299.8421325683594        40988                    0.044471144676208496     -69.1884765625           1.6335039617842995e-05   0.020328929647803307     0.21381479501724243      1.5606460571289062       6.09775424598169e-11     20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1900                     1.2459681166542902       249167872                271.79510498046875       300.0                    4096                     257.83587646484375       299.6588439941406        41015                    0.3449309468269348       -47.558677673339844      1.6179777958313935e-05   -0.0034578582271933556   0.593852698802948        1.075929880142212        3.5032461608120427e-44   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2000                     1.3013742931683858       262275072                272.957275390625         300.0                    4096                     259.2296447753906        299.8641052246094        40983                    0.0491691455245018       -66.71260833740234       1.806323962227907e-05    0.015173424035310745     0.21759343147277832      1.5053532123565674       2.6912350180734195e-18   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2100                     1.3564001296626198       275382272                273.33624267578125       300.0                    4096                     260.22857666015625       299.802001953125         40994                    0.05435054376721382      -69.9594497680664        3.159610423608683e-05    0.010333117097616196     0.2173299491405487       1.5799877643585205       9.522518407481528e-13    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2200                     1.4119211637973785       288489472                274.43035888671875       300.0                    4096                     261.02032470703125       299.8284606933594        40987                    0.04065451771020889      -70.1538314819336        3.595205635065213e-05    0.005704839713871479     0.19940350949764252      1.5832587480545044       3.540788810155876e-14    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2300                     1.4667945770422617       301596672                275.134765625            300.0                    4096                     261.9784851074219        299.9272155761719        40973                    0.03557392209768295      -67.72444152832031       1.7102194760809653e-05   0.021156098693609238     0.18871907889842987      1.5278494358062744       1.6836075787088518e-15   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2400                     1.521730535030365        314703872                275.8259582519531        300.0                    4096                     262.7064208984375        299.8785095214844        40981                    0.05365654081106186      -58.874855041503906      4.112986061954871e-05    -0.005270160734653473    0.22956183552742004      1.3284204006195068       9.713133330731578e-31    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2500                     1.5773065000110202       327811072                275.42889404296875       300.0                    4096                     263.2569580078125        299.92913818359375       40972                    0.4792405068874359       -47.92519760131836       7.163892587414011e-05    -0.04051370918750763     0.6978510022163391       1.0838961601257324       0.0                      20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2600                     1.637368543876542        340918272                276.026123046875         300.0                    4096                     263.53155517578125       299.87908935546875       40981                    0.03110363334417343      -66.82003021240234       2.9612710932269692e-05   0.00874372012913227      0.17423751950263977      1.5069525241851807       8.050071428784822e-17    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2700                     1.6913974977201887       354025472                276.590087890625         300.0                    4096                     264.0980224609375        299.97564697265625       40965                    0.028969474136829376     -69.31803131103516       7.695503154536709e-05    0.013605582527816296     0.17597974836826324      1.562611699104309        1.1837959432159373e-11   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2800                     1.7457722693019444       367132672                276.9166259765625        300.0                    4096                     264.7022705078125        299.94805908203125       40970                    0.029568005353212357     -70.13668060302734       3.2006730180000886e-05   0.005135805811733007     0.170127272605896        1.5812939405441284       6.378100465553871e-07    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
2900                     1.8004661030239528       380239872                277.1077880859375        300.0                    4096                     264.8506164550781        299.949462890625         40968                    0.03584163263440132      -63.83684158325195       2.8132450097473338e-05   0.008342193439602852     0.18704825639724731      1.4397504329681396       3.6765722535538563e-19   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3000                     1.856498615079456        393347072                277.46453857421875       300.0                    4096                     265.0628662109375        299.8271484375           40991                    0.4507230222225189       -45.98989486694336       6.203466182341799e-05    -0.002331928815692663    0.6695721745491028       1.0402169227600098       0.0                      20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3100                     1.9119602800740136       406454272                277.6678466796875        300.0                    4096                     265.5587463378906        299.8782043457031        40982                    0.03277438506484032      -62.23633575439453       6.232800660654902e-05    0.0012072904501110315    0.17961247265338898      1.4040858745574951       3.401262784933113e-17    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3200                     1.9672576428784265       419561472                278.04583740234375       300.0                    4096                     266.0910949707031        299.9288635253906        40972                    0.024938127025961876     -66.12935638427734       6.988932000240311e-05    0.004178450908511877     0.15444810688495636      1.4907267093658447       3.560961185668357e-16    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3300                     2.0219259773360356       432668672                278.31634521484375       300.0                    4096                     266.2742004394531        299.9388122558594        40971                    0.031113671138882637     -63.617366790771484      6.033969111740589e-05    0.006546560674905777     0.16513605415821075      1.434246301651001        1.9614817543196305e-19   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3400                     2.0773685920238494       445775872                278.4940185546875        300.0                    4096                     266.4830322265625        299.88653564453125       40980                    0.4924050569534302       -45.82987594604492       5.8216544857714325e-05   -0.00549679109826684     0.6957919001579285       1.03689444065094         0.0                      20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3500                     2.1331613227393893       458883072                278.5697326660156        300.0                    4096                     266.85394287109375       299.884033203125         40980                    0.03286149725317955      -65.35208129882812       5.767956099589355e-05    0.010096750222146511     0.1840413361787796       1.4739766120910645       1.5130597513279095e-17   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3600                     2.188653174108929        471990272                278.7941589355469        300.0                    4096                     266.9745178222656        299.92279052734375       40972                    0.02617933787405491      -64.10539245605469       5.984447125229053e-05    -0.0026739127933979034   0.16174010932445526      1.4455502033233643       3.392590292518862e-19    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
3700                     2.2440649084250133       485097472                279.13787841796875       300.0                    4096                     267.3525390625           299.90081787109375       40979                    0.03365294635295868      -60.211463928222656      8.509703184245154e-05    0.0016854223795235157    0.18365207314491272      1.3588223457336426       1.0479917918713701e-21   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
